epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.766,3.10549,4.66069,3.86182,2.17371,0.05181,0.22102,0.05805,0.03221,0.03881,0.22352,0.05076,0.02755,2.59174,3.56662,3.43877,1.47949,5.716e-05,5.716e-05,5.716e-05
2,205.077,2.61447,3.76709,3.27466,1.81395,0.28212,0.30068,0.24266,0.15409,0.28225,0.30114,0.24068,0.14201,1.86852,2.60497,inf,1.12006,0.000122244,0.000122244,0.000122244
3,315.265,2.00696,2.66344,1.79796,1.39197,0.40493,0.5319,0.44885,0.27582,0.41066,0.53675,0.45932,0.24592,1.81387,2.52179,inf,1.13597,0.000180254,0.000180254,0.000180254
4,415.898,1.96869,2.45428,1.5329,1.31254,0.13663,0.35651,0.21285,0.10829,0.13678,0.35697,0.21306,0.11493,1.92829,2.67837,inf,1.19269,0.000231191,0.000231191,0.000231191
5,543.128,1.90019,2.471,1.5076,1.28201,0.45492,0.34583,0.14747,0.07283,0.45067,0.27582,0.14098,0.06472,1.89476,2.96371,7.49368,1.15658,0.000275054,0.000275054,0.000275054
6,648.71,1.91874,2.37485,1.42289,1.3018,0.08381,0.1365,0.04697,0.01865,0.0906,0.05041,0.04916,0.0223,1.8817,3.51025,inf,1.18229,0.000311844,0.000311844,0.000311844
7,773.264,1.88821,2.26208,1.33823,1.26169,0.19279,0.24369,0.10903,0.04532,0.18019,0.21554,0.09996,0.03757,1.78869,2.76647,inf,1.13475,0.00034156,0.00034156,0.00034156
8,895.044,1.90266,2.30031,1.39302,1.26832,0.44222,0.53088,0.40086,0.19618,0.40489,0.49701,0.36387,0.17781,1.79908,2.56913,1.93067,1.16407,0.000364202,0.000364202,0.000364202
9,998.862,1.88301,2.27299,1.35339,1.25779,0.5077,0.4997,0.42444,0.22012,0.47924,0.46591,0.39084,0.19465,1.75328,2.45337,2.00812,1.15266,0.000379771,0.000379771,0.000379771
10,1099.57,1.81838,2.22114,1.38773,1.25915,0.39934,0.59619,0.46275,0.24603,0.40643,0.4788,0.41985,0.19861,1.77855,2.65658,1.69408,1.17392,0.000388266,0.000388266,0.000388266
11,1183.61,1.82434,2.1966,1.37086,1.25178,0.45495,0.36344,0.36701,0.2089,0.42892,0.33426,0.33059,0.16244,1.75288,2.46913,1.78363,1.13878,0.000389688,0.000389688,0.000389688
12,1273.21,1.79183,2.17004,1.37641,1.23214,0.41777,0.44572,0.35629,0.19935,0.40244,0.42749,0.34498,0.1856,1.84891,2.63319,1.68039,1.15356,0.000384037,0.000384037,0.000384037
13,1367.17,1.82018,2.17585,1.34104,1.2231,0.44012,0.51447,0.39492,0.2311,0.41959,0.4888,0.38009,0.19915,1.84578,2.63681,1.64442,1.15864,0.000371311,0.000371311,0.000371311
14,1447.28,1.84382,2.25626,1.34451,1.28574,0.25843,0.41383,0.28149,0.19619,0.23276,0.39835,0.26423,0.17019,1.79027,2.55004,2.46427,1.13372,0.000351513,0.000351513,0.000351513
15,1532.03,1.75679,2.08435,1.29517,1.19669,0.34084,0.42238,0.36139,0.23038,0.34328,0.3288,0.32654,0.1937,1.73266,2.48733,2.0515,1.14465,0.00032464,0.00032464,0.00032464
16,1623.89,1.72116,2.09523,1.32527,1.21434,0.38255,0.49895,0.42966,0.27194,0.4079,0.34552,0.39028,0.22377,1.71107,2.36282,1.7628,1.12987,0.000290694,0.000290694,0.000290694
17,1714.54,1.72172,2.34684,1.52167,1.30725,0.46292,0.48824,0.45133,0.27824,0.43902,0.43356,0.41339,0.23954,1.7004,2.20457,1.63158,1.0995,0.000249675,0.000249675,0.000249675
18,1799.11,1.76024,2.13884,1.25242,1.22529,0.42118,0.53591,0.43755,0.2699,0.40795,0.4693,0.40652,0.23502,1.72517,2.25292,1.62039,1.09929,0.000201582,0.000201582,0.000201582
19,1887.74,1.75653,2.07511,1.24931,1.21396,0.48155,0.48977,0.45099,0.28395,0.47752,0.45853,0.42437,0.24699,1.70603,2.22519,1.53443,1.09337,0.000146415,0.000146415,0.000146415
20,1975.1,1.76694,2.07698,1.23846,1.20145,0.52126,0.47826,0.46537,0.29397,0.49674,0.45854,0.44118,0.25857,1.67877,2.11476,1.42237,1.08613,8.41752e-05,8.41752e-05,8.41752e-05
